100,25,42,15.343434,8.25,1,2,2
freq,site_01,site_02,site_03,site_04,site_05,site_06,site_07,site_08,site_09,site_10,site_11,site_12,site_13,site_14,site_15,site_16,site_17,site_18,site_19,site_20,site_21,site_22,site_23,site_24,site_25
0.100000,2.942844e+14,5.527527e+14,3.847785e+14,2.667739e+14,3.177725e+14,3.149782e+14,2.984448e+14,2.250537e+14,2.490708e+14,2.070089e+14,1.624941e+14,1.103668e+14,1.195545e+14,1.031988e+14,1.353435e+14,9.572334e+13,1.258856e+14,6.951566e+13,4.697131e+13,7.728063e+13,4.994285e+13,8.746141e+13,6.695034e+13,5.015259e+13,5.136889e+13
0.106000,3.514142e+14,2.885761e+14,2.400885e+14,1.926042e+14,2.079471e+14,8.470381e+13,1.935091e+14,1.691156e+14,1.570819e+14,1.040080e+14,1.509255e+14,8.884253e+13,6.626395e+13,7.618416e+13,7.088567e+13,7.014132e+13,6.031435e+13,6.857663e+13,5.027921e+13,6.291874e+13,2.695887e+13,5.530538e+13,6.129337e+13,3.079422e+13,4.368285e+13
0.113000,1.496382e+14,1.416257e+14,1.422775e+14,1.693237e+14,1.362087e+14,1.011193e+14,9.080685e+13,8.086810e+13,5.976749e+13,6.612056e+13,4.207725e+13,5.642238e+13,5.318309e+13,5.915813e+13,4.187188e+13,3.780924e+13,4.650108e+13,3.221339e+13,1.901875e+13,2.920413e+13,2.231636e+13,1.646773e+13,2.143946e+13,1.908865e+13,1.948135e+13
0.121000,8.507807e+14,8.262904e+14,8.845935e+14,8.786932e+14,4.481202e+14,5.874489e+14,5.922208e+14,4.532623e+14,5.185943e+14,5.389589e+14,5.545070e+14,4.734339e+14,3.917483e+14,2.253032e+14,3.268874e+14,1.818475e+14,2.725320e+14,2.021711e+14,2.827659e+14,1.631762e+14,1.567958e+14,1.736395e+14,1.346562e+14,1.336847e+14,1.320472e+14
0.129000,1.935830e+15,1.232677e+15,1.676791e+15,6.166078e+14,1.391996e+15,1.164879e+15,7.406563e+14,6.531685e+14,6.862859e+14,3.811096e+14,4.320772e+14,4.355232e+14,4.861225e+14,6.602943e+14,4.193922e+14,4.253299e+14,3.015863e+14,5.304829e+14,3.525678e+14,2.124374e+14,2.122097e+14,3.309845e+14,2.947958e+14,1.923379e+14,2.055547e+14
0.137000,1.841516e+14,2.215515e+14,1.456022e+14,1.668819e+14,1.046259e+14,1.437207e+14,1.384926e+14,8.643167e+13,7.192904e+13,1.134019e+14,7.938144e+13,7.233637e+13,4.983750e+13,9.482190e+13,5.742085e+13,6.230395e+13,3.966918e+13,3.659910e+13,4.978116e+13,3.640235e+13,2.029214e+13,1.763226e+13,4.059428e+13,2.169297e+13,2.181037e+13
0.146000,8.441614e+13,8.701215e+13,4.342267e+13,4.464311e+13,7.416724e+13,4.885640e+13,3.529572e+13,5.462484e+13,4.496490e+13,3.530167e+13,4.039193e+13,2.962603e+13,2.723742e+13,4.008477e+13,2.047990e+13,1.556911e+13,1.901367e+13,1.599230e+13,1.246580e+13,1.259268e+13,5.618396e+12,1.188853e+13,1.348947e+13,1.012666e+13,1.002551e+13
0.155000,1.036033e+14,6.628382e+13,6.157814e+13,6.144242e+13,6.009230e+13,6.414581e+13,7.032053e+13,5.861966e+13,2.448539e+13,5.144230e+13,3.207513e+13,2.921921e+13,3.629947e+13,3.974464e+13,2.430125e+13,2.165639e+13,2.582095e+13,1.207799e+13,1.202014e+13,1.651390e+13,1.434768e+13,1.205567e+13,9.688608e+12,1.414026e+13,1.651292e+13
0.165000,2.463669e+14,3.454925e+14,1.915746e+14,2.235214e+14,2.351986e+14,1.888488e+14,1.999757e+14,1.607414e+14,1.049771e+14,1.189699e+14,1.156139e+14,1.130321e+14,6.315171e+13,5.996140e+13,1.157439e+14,6.469936e+13,8.834681e+13,6.545713e+13,5.861877e+13,5.505367e+13,3.218652e+13,5.072104e+13,7.844783e+13,5.769547e+13,4.245084e+13
0.176000,4.204129e+14,3.595228e+14,3.969547e+14,3.099673e+14,2.613668e+14,2.044634e+14,2.016618e+14,1.810533e+14,1.794487e+14,2.852764e+14,1.862017e+14,1.505064e+14,1.319531e+14,1.763202e+14,1.128499e+14,5.751423e+13,7.522619e+13,1.042914e+14,8.357689e+13,6.322423e+13,5.670524e+13,4.552900e+13,5.202962e+13,4.254197e+13,5.066059e+13
